stratum,word,n_lineages,median_delta,lineages_pos,lineages_tested,p,plan_b_word
animal_unmarked,cuddled,44,0.00034414455,24,44,0.65158783,False
animal_unmarked,frowned,42,0.00013611685,24,42,0.44079907,False
animal_unmarked,snuggled,43,-1.95155e-05,21,43,1,False
animal_unmarked,caressed,41,-0.0008330603,13,41,0.027533156,False
animal_unmarked,rocked,44,-0.001028972,12,44,0.0036577668,False
animal_unmarked,dashed,44,-0.0004772156,17,44,0.17417115,False
animal_unmarked,switched,46,-0.0011655552,9,46,4.0560361e-05,False
animal_unmarked,finished,46,-0.00027329305,21,46,0.65873808,False
animal_unmarked,dried,45,-0.0011989928,7,45,3.1213096e-06,False
animal_unmarked,folded,44,-0.0011186149,9,44,0.00010604467,False
animal_unmarked,wandered,46,-0.00031128265,18,46,0.18392482,False
animal_unmarked,retreated,44,0.00058043785,31,44,0.0095598789,False
animal_unmarked,galloped,43,-0.0013208696,11,43,0.001913961,False
animal_unmarked,fled,41,-0.0011009314,9,41,0.00043085704,False
animal_unmarked,scolded,42,0.0003704758,25,42,0.27995624,False
animal_unmarked,straw,40,-0.0024252797,9,40,0.00067954825,False
animal_unmarked,leaves,44,-0.00059949505,18,44,0.29121524,False
animal_unmarked,more,46,0.0032651983,29,46,0.10380536,False
animal_unmarked,carrots,44,0.0038344744,27,44,0.17417115,False
animal_unmarked,hay,46,0.022089691,31,46,0.025896082,False
animal_unmarked,rabbit,41,-0.0010273439,13,41,0.027533156,False
animal_unmarked,vegetables,44,0.000553389,25,44,0.45138083,False
animal_unmarked,pellets,40,-0.0010509924,15,40,0.15385994,False
animal_unmarked,dry,45,-0.001564759,10,45,0.00024708778,False
animal_unmarked,sprinkled,41,-0.00058125245,11,41,0.0043240049,False
animal_unmarked,straightened,44,0.00011680908,25,44,0.45138083,False
animal_unmarked,hurled,43,-0.0010580606,8,43,4.1934158e-05,False
animal_unmarked,crouched,43,-0.00044582965,14,43,0.031539497,False
animal_unmarked,begged,40,-0.00058577398,14,40,0.080690468,False
animal_unmarked,paid,42,-0.0001775533,19,42,0.64396896,False
animal_unmarked,parked,45,-0.00035103405,17,45,0.13515645,False
animal_unmarked,met,41,8.16924e-05,22,41,0.75522866,False
animal_unmarked,motioned,42,-0.0008608727,14,42,0.043558522,False
animal_unmarked,mud,43,-0.000578153,21,43,1,False
animal_unmarked,sand,45,-0.0010766422,16,45,0.07245426,False
animal_unmarked,sticks,46,0.005192834,25,46,0.65873808,False
animal_unmarked,stones,46,0.0001756594,23,46,1,False
animal_unmarked,debris,41,0.0011082411,26,41,0.11727521,False
