category,delta,edges_pos,n_edges,lo,hi,mde,p,bonferroni,labeling,cell,coverage,scen,pov,context
Z3c,-0.0010528953311561,2,41,-0.0032936163463027617,0.0011878256839905619,0.0032010300216380886,0.3625787541134307,False,usas,C1_indiv,0.9749163879598662,C1,indiv,labor
Z5,0.006233888351890185,23,41,-0.0017880203524122708,0.014255797056192641,0.011459869577574937,0.13559342226740118,False,usas,C1_indiv,0.9749163879598662,C1,indiv,labor
Z6,-0.0027472901665343465,16,41,-0.013466633490386818,0.007972053157318125,0.015313347605503527,0.6181870708060717,False,usas,C1_indiv,0.9749163879598662,C1,indiv,labor
Z8,0.0008596510804128883,5,41,-0.002058287491907432,0.003777589652733209,0.004168483674743315,0.5668827665922344,False,usas,C1_indiv,0.9749163879598662,C1,indiv,labor
Z8mf,0.001656638249653324,6,41,0.0004102602954711395,0.002903016203835509,0.0017805399345459778,0.01283245235123642,False,usas,C1_indiv,0.9749163879598662,C1,indiv,labor
admire,0.021421859816982542,29,41,0.010599748620567843,0.03224397101339724,0.015460158852020999,0.00038129219148378253,True,verbnet,C1_indiv,0.6827303131650958,C1,indiv,labor
adopt,0.0018488727151652938,5,41,-0.0018103031763944052,0.005508048606724993,0.00522739413079957,0.3279661338618735,False,verbnet,C1_indiv,0.6827303131650958,C1,indiv,labor
advise,0.015618145569265296,18,41,0.007117536431468478,0.024118754707062116,0.01214372733970974,0.0008651130774600391,False,verbnet,C1_indiv,0.6827303131650958,C1,indiv,labor
amuse,0.0030592196579045214,18,41,-0.006783047125595441,0.012901486441404483,0.01406038111928566,0.5458259089000813,False,verbnet,C1_indiv,0.6827303131650958,C1,indiv,labor
animal_sounds,-0.03116235392966814,10,41,-0.04722858645995702,-0.015096121399379266,0.022951760757555537,0.0004807936944814991,True,verbnet,C1_indiv,0.6827303131650958,C1,indiv,labor
appeal,-0.012871992580864298,18,41,-0.040575114284921415,0.01483112912319282,0.039575888148653024,0.36791147440457783,False,verbnet,C1_indiv,0.6827303131650958,C1,indiv,labor
appear,0.002600735197870762,5,41,-0.00014271433585582617,0.0053441847315973505,0.003919213619609411,0.07053430201325109,False,verbnet,C1_indiv,0.6827303131650958,C1,indiv,labor
appoint,0.01590084813418641,29,41,0.010421752218136711,0.021379944050236112,0.007827279880070998,1.2967451388957927e-06,True,verbnet,C1_indiv,0.6827303131650958,C1,indiv,labor
approve,0.005078778481645713,16,41,-0.000942521668541467,0.011100078631832893,0.008601857357410257,0.10611905765712816,False,verbnet,C1_indiv,0.6827303131650958,C1,indiv,labor
assessment,0.004891245312709639,7,41,0.0009399199782719747,0.008842570647147304,0.005644750477768092,0.019858048305325497,False,verbnet,C1_indiv,0.6827303131650958,C1,indiv,labor
battle,0.025363890587300354,23,41,0.01115879612105353,0.03956898505354718,0.02029299209463832,0.0011587822703863727,False,verbnet,C1_indiv,0.6827303131650958,C1,indiv,labor
begin,0.012475111597273766,24,41,0.0012429705204551767,0.023707252674092356,0.016045915824026553,0.035448601737974136,False,verbnet,C1_indiv,0.6827303131650958,C1,indiv,labor
braid,-0.012578720637084956,30,41,-0.07155457750662808,0.046397136232458176,0.08425122409934732,0.6781533498189539,False,verbnet,C1_indiv,0.6827303131650958,C1,indiv,labor
bring,0.04204790653257901,33,41,0.026210281410066417,0.05788553165509161,0.02262517874644656,6.174058122858089e-06,True,verbnet,C1_indiv,0.6827303131650958,C1,indiv,labor
build,-0.003769771119982089,9,41,-0.010789886763522173,0.0032503445235579956,0.010028736633628693,0.2988818689333991,False,verbnet,C1_indiv,0.6827303131650958,C1,indiv,labor
calibratable_cos,-0.0014653055223979644,1,41,-0.003151433094847579,0.00022082205005164997,0.00240875367492802,0.09626901097504802,False,verbnet,C1_indiv,0.6827303131650958,C1,indiv,labor
care,-0.0026485754085799214,4,41,-0.006271261903901527,0.0009741110867416839,0.005175266421888007,0.1596359138544128,False,verbnet,C1_indiv,0.6827303131650958,C1,indiv,labor
